REPORTING YEAR	TITLE OF CERTIFYING OFFICIAL	NAME OF CERTIFYING OFFICIAL	TRIFID	FACILITY NAME	FACILITY STREET	FACILITY CITY	FACILITY COUNTY	FACILITY STATE	FACILITY ZIP CODE	MAILING NAME	MAILING STREET	MAILING CITY	MAILING STATE	MAILING PROVINCE	MAILING ZIP CODE	ENTIRE FACILITY IND	PARTIAL FACILITY IND	FEDERAL FACILITY IND	GOCO FACILITY IND	PUBLIC CONTACT NAME	PUBLIC CONTACT PHONE	PRIMARY SIC CODE	SIC CODE 2	SIC CODE 3	SIC CODE 4	SIC CODE 5	SIC CODE 6	NAICS ORIGIN	PRIMARY NAICS CODE	NAICS CODE 2	NAICS CODE 3	NAICS CODE 4	NAICS CODE 5	NAICS CODE 6	LATITUDE	LONGITUDE	DB NR A	DB NR B	RCRA NR A	RCRA NR B	NPDES NR A	NPDES NR B	UIC NR A	UIC NR B	PARENT COMPANY NAME	PARENT COMPANY DB NR	ASSIGNED FED. FACILITY FLAG	PUBLIC CONTACT EMAIL	
2007	PLANT MANAGER	TONY AULISA	275593MCPT4191H	3M CO - PITTSBORO	4191 HWY 87 S	MONCURE	CHATHAM	NC	27559	3M CO - PITTSBORO	4191 HWY 87 S	MONCURE	NC		27559	YES	NO	NO	NO	TONY AULISA	9196420006	3295							212313						35.659722	-78.83472	126720155								3M CO	006173082	NO	TGAULISA@MMM.COM	
2002		STEVE HAYNES	28634HRTST3374H	A & H ART & STAINED GLASS CO INC	3374 HARMONY HWY	HARMONY	IREDELL	NC	28634	A & H ART & STAINED GLASS CO INC	PO BOX 67	HARMONY	NC		28634	YES	NO	NO	NO	STEVE HAYNES	7045462687	3231							327215						35.956943	-80.771279	024611527										NO		
1993	VICE PRESIDENT	ERNEST W. SUMNER	28053BCRTRHIGHW	A B CARTER INC	4801 S YORK HWY	GASTONIA	GASTON	NC	28054	A B CARTER INC	PO BOX  518	GASTONIA	NC		28053	YES	NO	NO		ERNEST W SUMNER	7048651201	3552							333292						35.188806	-81.207241	003154010		NCD003154010		NC0063835						NO		
2007	HUMAN RESOURCES MANAGER	DWIGHT WEST	27302SMTHLAOSMI	A.O. SMITH ELECTRICAL PRODUCTS CO	709 A.O. SMITH RD	MEBANE	ALAMANCE	NC	27302	A.O. SMITH ELECTRICAL PRODUCTS CO	709 A.O. SMITH RD	MEBANE	NC		27302	YES	NO	NO	NO	DWIGHT WEST	9195639100	3621							335312						36.084722	-79.261667	006085815								A.O. SMITH CORP	006085815	NO	DWIGHT.WEST@AOSEPC.COM	
2007	VICE PRESIDENT OF ADMINISTRATION	SCOTT TORPHY	28139LLDDC18IND	AALLIED DIE CASTING OF N.C.	401 AALLIED DR	RUTHERFORDTON	RUTHERFORD	NC	28139	AALLIED DIE CASTING OF N.C.	401 AALLIED DR	RUTHERFORDTON	NC		28139	YES	NO	NO	NO	CHUCK HILL	8282864003	3363							331521						35.356215	-81.956933									RCM INDUSTRIES	616720314	NO	NA	
1994	PRES. & GENERAL MGR.	DAVID L. WEBB	28315RPWRBANDER	AAR POWERBOSS INC.	ANDERSON & TAYLOR STS.	ABERDEEN	MOORE	NC	283151227	AAR POWERBOSS INC.	P. O. BOX 1227	ABERDEEN	NC		28315-1227	YES	NO	NO		GAY ROBINSON	9109442105	3569							333999						35.135839	-79.436035	009973367		NCD099233686	NCDO99233686					AAR CORP	009973367	NO		
2007	MANAGING DIRECTOR	JON RENNIE	27864WSTNGHWY43	ABB INC.	3022 NC 43 N	PINETOPS	EDGECOMBE	NC	27864	ABB INC.	3022 NC 43 N	PINETOPS	NC		27864	YES	NO	NO	NO	JOHN P. HARTNETT	2528278623	3612							335311						35.803611	-77.640278	607552783								ABB INC.	011885969	NO	JOHN.P.HARTNETT@US.ABB.COM	
1994	GENERAL MANAGER	ENRIQUE SANTACANA	27604WSTNG2728N	ABB POWER T&D CO. INC.	2728 CAPITAL BLVD.	RALEIGH	WAKE	NC	27604	ABB POWER T&D CO. INC.	201 S. ROGERS LN.	RALEIGH	NC		27610	YES	NO	NO		TOM PARKER	9192124733	3825							335313						35.816439	-78.600842	609774435		NCD003195963						ASEA BROWN BOVERI INC.	011885969	NO		
1994	DIRECTOR OF OPERATIONS	JERRY LEEDY	27802BBTTLPOBOX	ABBOTT LABORATORIES	HWY. 301 N.	ROCKY MOUNT	NASH	NC	278022226	ABBOTT LABORATORIES	P.O. BOX 2226	ROCKY MOUNT	NC		27802-2226	YES	NO	NO		GRANT OXENDINE	9199775480	2834							325412						35.8696	-77.8286	093132819		NCD900733180		NC0001589				ABBOTT LABORATORIES	001307602	NO		
2001	PLANT MANAGER	BRENT BOWERS	28352BBTTLHWY40	ABBOTT LABS.	HWY. 401 & 15/501	LAURINBURG	SCOTLAND	NC	28352	ABBOTT LABS.	HWY. 401 & 15/501	LAURINBURG	NC		28352	YES	NO	NO	NO	BRENT BOWERS	9102766210	3841							339112						34.799167	-79.460278	039136395		NCD050411800		NCG030000	NC0020656			ABBOTT LABS.	001307602	NO		
