REPORTING YEAR	TITLE OF CERTIFYING OFFICIAL	NAME OF CERTIFYING OFFICIAL	TRIFID	FACILITY NAME	FACILITY STREET	FACILITY CITY	FACILITY COUNTY	FACILITY STATE	FACILITY ZIP CODE	MAILING NAME	MAILING STREET	MAILING CITY	MAILING STATE	MAILING PROVINCE	MAILING ZIP CODE	ENTIRE FACILITY IND	PARTIAL FACILITY IND	FEDERAL FACILITY IND	GOCO FACILITY IND	PUBLIC CONTACT NAME	PUBLIC CONTACT PHONE	PRIMARY SIC CODE	SIC CODE 2	SIC CODE 3	SIC CODE 4	SIC CODE 5	SIC CODE 6	NAICS ORIGIN	PRIMARY NAICS CODE	NAICS CODE 2	NAICS CODE 3	NAICS CODE 4	NAICS CODE 5	NAICS CODE 6	LATITUDE	LONGITUDE	DB NR A	DB NR B	RCRA NR A	RCRA NR B	NPDES NR A	NPDES NR B	UIC NR A	UIC NR B	PARENT COMPANY NAME	PARENT COMPANY DB NR	ASSIGNED FED. FACILITY FLAG	PUBLIC CONTACT EMAIL	10-18-2012	
2011		WILLIAM L. HORNBAKER	21703PTPSC5350P	ACDI (AMERICAN COMPUTER DEVELOPMENT)	5350 PARTNERS CT	FREDERICK	FREDERICK	MD	21703	ACDI (AMERICAN COMPUTER DEVELOPMENT)	5350 PARTNERS CT	FREDERICK	MD		21703	YES	NO	NO	NO	WILLIAM HORNBAKER	3016241620	3699							334418						39.38182	-77.41816	086014546										NO	BHORNBAKER@ACDI.COM	
2011	R & D ANALYST	DANIEL GOOD	21227DLLPL453AN	ADELL PLASTICS	4530 ANNAPOLIS RD	BALTIMORE	BALTIMORE	MD	21227	ADELL PLASTICS	4530 ANNAPOLIS RD	BALTIMORE	MD		21227	YES	NO	NO	NO	DANIEL J. GOOD	4107897780								325991						39.23047	-76.64168	003065224								ADELL PLASTICS		NO	DGOOD@ADELLPLAS.COM	
2011	PLANT MANAGER	PETER BAJC	21502SWRRR11600	AES WARRIOR RUN INC	11600 MEXICO FARMS RD SE	CUMBERLAND	ALLEGANY	MD	21502	AES WARRIOR RUN INC	11600 MEXICO FARMS RD SE	CUMBERLAND	MD		21502	YES	NO	NO	NO	JEFF LEAF	3017770055	4911							221112						39.59419	-78.74661	159808419								AES CORP	043857812	NO	JEFF.LEAF@AES.COM	
2011	PLANT MANAGER	PETER BAJC	21502SWRRR11600	AES WARRIOR RUN INC	11600 MEXICO FARMS RD SE	CUMBERLAND	ALLEGANY	MD	21502	AES WARRIOR RUN INC	11600 MEXICO FARMS RD SE	CUMBERLAND	MD		21502	YES	NO	NO	NO	JEFF LEAF	3017770055	4911							221112						39.59419	-78.74661	159808419								AES CORP	043857812	NO	JEFF.LEAF@AES.COM	
2011	PLANT MANAGER	PETER BAJC	21502SWRRR11600	AES WARRIOR RUN INC	11600 MEXICO FARMS RD SE	CUMBERLAND	ALLEGANY	MD	21502	AES WARRIOR RUN INC	11600 MEXICO FARMS RD SE	CUMBERLAND	MD		21502	YES	NO	NO	NO	JEFF LEAF	3017770055	4911							221112						39.59419	-78.74661	159808419								AES CORP	043857812	NO	JEFF.LEAF@AES.COM	
2011	PLANT MANAGER	PETER BAJC	21502SWRRR11600	AES WARRIOR RUN INC	11600 MEXICO FARMS RD SE	CUMBERLAND	ALLEGANY	MD	21502	AES WARRIOR RUN INC	11600 MEXICO FARMS RD SE	CUMBERLAND	MD		21502	YES	NO	NO	NO	JEFF LEAF	3017770055	4911							221112						39.59419	-78.74661	159808419								AES CORP	043857812	NO	JEFF.LEAF@AES.COM	
2011	PLANT MANAGER	PETER BAJC	21502SWRRR11600	AES WARRIOR RUN INC	11600 MEXICO FARMS RD SE	CUMBERLAND	ALLEGANY	MD	21502	AES WARRIOR RUN INC	11600 MEXICO FARMS RD SE	CUMBERLAND	MD		21502	YES	NO	NO	NO	JEFF LEAF	3017770055	4911							221112						39.59419	-78.74661	159808419								AES CORP	043857812	NO	JEFF.LEAF@AES.COM	
2011	PLANT MANAGER	PETER BAJC	21502SWRRR11600	AES WARRIOR RUN INC	11600 MEXICO FARMS RD SE	CUMBERLAND	ALLEGANY	MD	21502	AES WARRIOR RUN INC	11600 MEXICO FARMS RD SE	CUMBERLAND	MD		21502	YES	NO	NO	NO	JEFF LEAF	3017770055	4911							221112						39.59419	-78.74661	159808419								AES CORP	043857812	NO	JEFF.LEAF@AES.COM	
2011	PLANT MANAGER	PETER BAJC	21502SWRRR11600	AES WARRIOR RUN INC	11600 MEXICO FARMS RD SE	CUMBERLAND	ALLEGANY	MD	21502	AES WARRIOR RUN INC	11600 MEXICO FARMS RD SE	CUMBERLAND	MD		21502	YES	NO	NO	NO	JEFF LEAF	3017770055	4911							221112						39.59419	-78.74661	159808419								AES CORP	043857812	NO	JEFF.LEAF@AES.COM	
2011	PLANT MANAGER	PETER BAJC	21502SWRRR11600	AES WARRIOR RUN INC	11600 MEXICO FARMS RD SE	CUMBERLAND	ALLEGANY	MD	21502	AES WARRIOR RUN INC	11600 MEXICO FARMS RD SE	CUMBERLAND	MD		21502	YES	NO	NO	NO	JEFF LEAF	3017770055	4911							221112						39.59419	-78.74661	159808419								AES CORP	043857812	NO	JEFF.LEAF@AES.COM	
2011	PLANT MANAGER	PETER BAJC	21502SWRRR11600	AES WARRIOR RUN INC	11600 MEXICO FARMS RD SE	CUMBERLAND	ALLEGANY	MD	21502	AES WARRIOR RUN INC	11600 MEXICO FARMS RD SE	CUMBERLAND	MD		21502	YES	NO	NO	NO	JEFF LEAF	3017770055	4911							221112						39.59419	-78.74661	159808419								AES CORP	043857812	NO	JEFF.LEAF@AES.COM	
2011	PLANT MANAGER	PETER BAJC	21502SWRRR11600	AES WARRIOR RUN INC	11600 MEXICO FARMS RD SE	CUMBERLAND	ALLEGANY	MD	21502	AES WARRIOR RUN INC	11600 MEXICO FARMS RD SE	CUMBERLAND	MD		21502	YES	NO	NO	NO	JEFF LEAF	3017770055	4911							221112						39.59419	-78.74661	159808419								AES CORP	043857812	NO	JEFF.LEAF@AES.COM	
2011	PLANT MANAGER	PETER BAJC	21502SWRRR11600	AES WARRIOR RUN INC	11600 MEXICO FARMS RD SE	CUMBERLAND	ALLEGANY	MD	21502	AES WARRIOR RUN INC	11600 MEXICO FARMS RD SE	CUMBERLAND	MD		21502	YES	NO	NO	NO	JEFF LEAF	3017770055	4911							221112						39.59419	-78.74661	159808419								AES CORP	043857812	NO	JEFF.LEAF@AES.COM	
2011	PLANT MANAGER	PETER BAJC	21502SWRRR11600	AES WARRIOR RUN INC	11600 MEXICO FARMS RD SE	CUMBERLAND	ALLEGANY	MD	21502	AES WARRIOR RUN INC	11600 MEXICO FARMS RD SE	CUMBERLAND	MD		21502	YES	NO	NO	NO	JEFF LEAF	3017770055	4911							221112						39.59419	-78.74661	159808419								AES CORP	043857812	NO	JEFF.LEAF@AES.COM	
2011	PLANT MANAGER	PETER BAJC	21502SWRRR11600	AES WARRIOR RUN INC	11600 MEXICO FARMS RD SE	CUMBERLAND	ALLEGANY	MD	21502	AES WARRIOR RUN INC	11600 MEXICO FARMS RD SE	CUMBERLAND	MD		21502	YES	NO	NO	NO	JEFF LEAF	3017770055	4911							221112						39.59419	-78.74661	159808419								AES CORP	043857812	NO	JEFF.LEAF@AES.COM	
2011	TECHNOLOGY MANAGER	RAYMOND LEVESQUE	21040LCRNC1502Q	ALCORE INC - LAKESIDE	1502 QUARRY DR	EDGEWOOD	HARFORD	MD	210401063	ALCORE INC - LAKESIDE	1502 QUARRY DR	EDGEWOOD	MD		21040-1063	YES	NO	NO	NO	RAY LEVESQUE	4106526551	3499							332999						39.445877	-76.314067	786677716								MC GILL CORP	786677716	NO	RAYMONDALRVESQUE@YAHOO.COM	
2011	TECHNOLOGY MANAGER	RAYMOND LEVESQUE	21040LCRNC1502Q	ALCORE INC - LAKESIDE	1502 QUARRY DR	EDGEWOOD	HARFORD	MD	210401063	ALCORE INC - LAKESIDE	1502 QUARRY DR	EDGEWOOD	MD		21040-1063	YES	NO	NO	NO	RAY LEVESQUE	4106526551	3499							332999						39.445877	-76.314067	786677716								MC GILL CORP	786677716	NO	RAYMONDALRVESQUE@YAHOO.COM	
2011	TECHNOLOGY MANAGER	RAYMOND LEVESQUE	21040LCRNC1502Q	ALCORE INC - LAKESIDE	1502 QUARRY DR	EDGEWOOD	HARFORD	MD	210401063	ALCORE INC - LAKESIDE	1502 QUARRY DR	EDGEWOOD	MD		21040-1063	YES	NO	NO	NO	RAY LEVESQUE	4106526551	3499							332999						39.445877	-76.314067	786677716								MC GILL CORP	786677716	NO	RAYMONDALRVESQUE@YAHOO.COM	
2011	MANAGER, ENVIRONMENTAL	MICHAEL JIROUSEK	21795RPLSM15952	ALLEGHENY ENERGY INC R PAUL SMITH POWER STATION	15952 LOCKWOOD RD	WILLIAMSPORT	WASHINGTON	MD	21795	ALLEGHENY ENERGY INC R PAUL SMITH POWER STATION	800 CABIN HILL DR	GREENSBURG	PA		156011689	YES	NO	NO	NO	MARK DURBIN	3307614365	4911							221112						39.589652	-77.818621	043381565								ALLEGHENY ENERGY INC	006979660	NO	DURBINM@FIRSTENERGYCORP.COM	
2011	MAINTENANCE/ENGINEERING MANAGER	HENRY QUATHAMER	21835STRNSRFD1	ALLEN BIOTECH LLC	5420 LINKWOOD RD	LINKWOOD	DORCHESTER	MD	218351116	ALLEN BIOTECH LLC	126 N SHIPLEY ST	SEAFOD	DE		199733100	YES	NO	NO	NO	HENRY QUATHAMER	4108202100	2048							311613						38.556071	-75.935463									HARIM USA LTD		NO	HENRY.QUATHAMER@ALLENHARIMLLC.COM	
