REPORTING YEAR	TITLE OF CERTIFYING OFFICIAL	NAME OF CERTIFYING OFFICIAL	TRIFID	FACILITY NAME	FACILITY STREET	FACILITY CITY	FACILITY COUNTY	FACILITY STATE	FACILITY ZIP CODE	MAILING NAME	MAILING STREET	MAILING CITY	MAILING STATE	MAILING PROVINCE	MAILING ZIP CODE	ENTIRE FACILITY IND	PARTIAL FACILITY IND	FEDERAL FACILITY IND	GOCO FACILITY IND	PUBLIC CONTACT NAME	PUBLIC CONTACT PHONE	PRIMARY SIC CODE	SIC CODE 2	SIC CODE 3	SIC CODE 4	SIC CODE 5	SIC CODE 6	NAICS ORIGIN	PRIMARY NAICS CODE	NAICS CODE 2	NAICS CODE 3	NAICS CODE 4	NAICS CODE 5	NAICS CODE 6	LATITUDE	LONGITUDE	DB NR A	DB NR B	RCRA NR A	RCRA NR B	NPDES NR A	NPDES NR B	UIC NR A	UIC NR B	PARENT COMPANY NAME	PARENT COMPANY DB NR	ASSIGNED FED. FACILITY FLAG	PUBLIC CONTACT EMAIL	20-NOV-13	
2012	PLANT MANAGER	MICHAEL BAHMA	68064MC   600EA	3M CO - VALLEY	600 E MEIGS	VALLEY	DOUGLAS	NE	68064	3M CO - VALLEY	PO BOX 368	VALLEY	NE		68064	YES	NO	NO	NO	MICHAEL BAHMA	4023592131	3842	2297						313230	339113	334510	325222	333220	339115	41.306621	-96.342049	028196103								3M CO	006173082	NO		
2012	PRESIDENT	LOREN SMITH	68901FBRGLROUTE	A-1 FIBERGLASS	4495 S GUNPOWDER CIR	HASTINGS	ADAMS	NE	68901	A-1 FIBERGLASS	4495 S GUNPOWDER CIR	HASTINGS	NE		68901	YES	NO	NO	NO	BRIAN PERKINS	4024630180	3089							326199						40.565013	-98.312556									A-1 FIBERGLASS		NO	BPERKINS@A1FIBERGLASS.COM	
2012	PRESIDENT	LOREN SMITH	688181FBRG1318W	A-1 FIBERGLASS	1318 WILSON ST	AURORA	HAMILTON	NE	68818	A-1 FIBERGLASS	4495 S GUNPOWDER CIR	HASTINGS	NE		68901	YES	NO	NO	NO	BRIAN PERKINS	4024630180	3089							326199						40.87103	-98.03956									A-1 FIBERGLASS		NO	BPERKINS@A1FIBERGLASS.COM	
2012	PLANT MANAGER	MITCH STUHR	68467HGHPL1414C	ABENGOA BIOENERGY CORP	1414 COUNTY RD O	YORK	YORK	NE	68467	ABENGOA BIOENERGY CORP	1414 COUNTY RD O	YORK	NE		68467	YES	NO	NO	NO	DALTON JOHNSON	4023622285	2869							325193						40.9	-97.543889	874819840								ABENGOA BIOENERGY	021366125	NO	DALTON.JOHNSON@BIOENERGY.ABENGOA.COM	
2012	PLANT MANAGER	MITCHELL FELDMAN	68869BNGBN35955	ABENGOA BIOENERGY OF NEBRASKA	35955 NAVAHO RD	RAVENNA	BUFFALO	NE	68869	ABENGOA BIOENERGY OF NEBRASKA	PO BOX 85	RAVENNA	NE		68869	YES	NO	NO	NO	WILLIAM ABOOD	3084526124								325193						41.023749	-98.87511	621160238								ABENGOA BIOENERGY	021366125	NO	WILLIAM.ABOOD@BIOENERGY.ABENGOA.COM	
2012	SPECIAL PROJECT MANAGER	JOHN KLINCK	68310CCMCR2101R	ACCUMA CORP	2101 RIDGEWAY DR	BEATRICE	GAGE	NE	68310	ACCUMA CORP	2101 RIDGEWAY DR	BEATRICE	NE		68310	YES	NO	NO	NO	JOHN KLINCK	7048731488	3061	3089						326199						40.300278	-96.754444	148527443								ACCUMA CORP		NO	JOHN.KLINCK@ACCUMACORP.COM	
2012	SR. OPERATIONS MGR.	TIM RYDER	69162PRSTL1GREE	ADC TELECOMMUNICATIONS INC	1 GREENWOOD RD	SIDNEY	CHEYENNE	NE	691620259	ADC TELECOMMUNICATIONS INC	PO BOX 259	SIDNEY	NE		691620259	YES	NO	NO	NO	TIM RYDER	3082548157	3357							335929						41.147778	-102.953853	147150643								TE CONNECTIVITY LTD	003012549	NO	TIM.RYDER@TE.COM	
2012	REGIONAL ENVIRONMENTAL MANAGER	MICHAEL PETERMAN	68507RCHRD78THA	ADM	7800 THAYER ST	LINCOLN	LANCASTER	NE	68507	ADM	PO BOX 29268	LINCOLN	NE		68529	YES	NO	NO	NO	MEDIA RELATIONS	2174245413	2075	2079						311222						40.866447	-96.620111	044098689								ARCHER DANIELS MIDLAND CO	001307586	NO	MEDIA@ADM.COM	
2012	PLANT MANAGER	TODD GOOD	68025RCHRD130NB	ADM	130 N BROAD ST	FREMONT	DODGE	NE	680251286	ADM	130 N BROAD ST	FREMONT	NE		68025-1286	YES	NO	NO	NO	MEDIA RELATIONS	2174245413	2075							311222						41.430555	-96.497525	020178679								ARCHER DANIELS MIDLAND CO	001307586	NO	MEDIA@ADM.COM	
2012	PLANT MANAGER	DARIN SIGLER	68802DLCSF204EA	ADM ALLIANCE NUTRITION INC	3410 W 2ND ST	GRAND ISLAND	HALL	NE	68803	ADM ALLIANCE NUTRITION INC	3410 W 2ND ST	GRAND ISLAND	NE		68803	YES	NO	NO	NO	MARK CALMES	2174515200	2048							311119						40.949418	-98.357137	849684428								ARCHER DANIELS MIDLAND CO	001307586	NO	MARK.CALMES@ADM.COM	
2012	PRODUCTION MANGER	HARLAN PRIEKSAT	68776CNTRL39THD	ADM ALLIANCE NUTRITION INC	425 W 39TH ST	SOUTH SIOUX CITY	DAKOTA	NE	68776	ADM ALLIANCE NUTRITION INC	425 W 39TH ST	SOUTH SIOUX CITY	NE		68776	YES	NO	NO	NO	JAMES TYLER	2174513827	2048							311119						42.451595	-96.414009	849684428								ARCHER DANIELS MIDLAND CO	001307586	NO	JAMES.TYLER@ADM.COM	
2012	PLANT MANAGER	AARON OGAN	68601MRMNMHIGHW	ADM ALLIANCE NUTRITION INC	2174 E 59TH AVE	COLUMBUS	PLATTE	NE	68601	ADM ALLIANCE NUTRITION INC	2174 E 59TH AVE	COLUMBUS	NE		68601	YES	NO	NO	NO	MARK CALMES	2174515200	2048							311119						41.444912	-97.337619	849684428								ARCHER DANIELS MIDLAND CO	001307586	NO	MARK.CALMES@ADM.COM	
2012	PLANT MANAGER	DARIN SIGLER	69130CNTRL300WE	ADM ALLIANCE NUTRITION INC	300 W 2ND ST	COZAD	DAWSON	NE	69130	ADM ALLIANCE NUTRITION INC	300 W 2ND ST	COZAD	NE		69130	YES	NO	NO	NO	MARK CALMES	2174515200	2048							311119						40.856118	-99.989567	849684428								ARCHER DANIELS MIDLAND CO	001307586	NO	MARK.CALMES@ADM.COM	
2012	PLANT MANAGER	STEVEN DEWALD	68601MNNST3000E	ADM CORN PROCESSING - COLUMBUS	3000 E 8TH ST	COLUMBUS	PLATTE	NE	68601	ADM CORN PROCESSING - COLUMBUS	3000 E 8TH ST	COLUMBUS	NE		68601	YES	NO	NO	NO	MEDIA RELATIONS	2174245413	2046	2869						311221						41.42139	-97.288612	787766922								ARCHER DANIELS MIDLAND CO	001307586	NO	MEDIA@ADM.COM	
